Sample	Accession	Merged
WT_E135_H3K4me3_1	SRR8029750	WT_E135_H3K4me3
WT_E135_H3K4me3_2	SRR8029751	WT_E135_H3K4me3
WT_E175_H3K4me3_1	SRR8029752	WT_E175_H3K4me3
WT_E175_H3K4me3_2	SRR8029753	WT_E175_H3K4me3
WT_E195_H3K4me3_1	SRR8029754	WT_E195_H3K4me3
WT_E195_H3K4me3_2	SRR8029755	WT_E195_H3K4me3
WT_P2_H3K4me3_1	SRR8029756	WT_P2_H3K4me3
WT_P2_H3K4me3_2	SRR8029757	WT_P2_H3K4me3
WT_E135_H3K9me3_1	SRR8029758	WT_E135_H3K9me3
WT_E135_H3K9me3_2	SRR8029759	WT_E135_H3K9me3
WT_E175_H3K9me3_1	SRR8029760	WT_E175_H3K9me3
WT_E175_H3K9me3_2	SRR8029761	WT_E175_H3K9me3
WT_E195_H3K9me3_1	SRR8029762	WT_E195_H3K9me3
WT_E195_H3K9me3_2	SRR8029763	WT_E195_H3K9me3
WT_P2_H3K9me3_1	SRR8029764	WT_P2_H3K9me3
WT_P2_H3K9me3_2	SRR8029765	WT_P2_H3K9me3
WT_E135_H3K27me3_1	SRR8029766	WT_E135_H3K27me3
WT_E135_H3K27me3_2	SRR8029767	WT_E135_H3K27me3
WT_E175_H3K27me3_1	SRR8029768	WT_E175_H3K27me3
WT_E175_H3K27me3_2	SRR8029769	WT_E175_H3K27me3
WT_E195_H3K27me3_1	SRR8029770	WT_E195_H3K27me3
WT_E195_H3K27me3_2	SRR8029771	WT_E195_H3K27me3
WT_P2_H3K27me3_1	SRR8029772	WT_P2_H3K27me3
WT_P2_H3K27me3_2	SRR8029773	WT_P2_H3K27me3
